srcStateName,srcYear,Budget type,Total expenditure,Developmental expenditure,Social services,"Education, sports, art and culture",Medical and public health,Family welfare,Water supply and sanitation,Housing,Urban development,"Welfare of scheduled caste, scheduled tribes and other backward classes",Labour and labour welfare,Social security and welfare,Nutrition,Relief on account of natural calamities,Other social services,Economic services,Agriculture and allied activities,Crop husbandry,Soil and water conservation,Animal husbandry,Dairy development,Fisheries,Forestry and wild life,Plantations,Food storage and Warehousing,Agricultural research and education,Agricultural finance institutions,Cooperation,Other agricultural programmes,Rural development,Special area programmes,Irrigation and flood control,Major and medium irrigation,Minor irrigation,Flood control and drainage,Energy,Power,Industry and minerals,Village and small industries,Industries,Other industries,Transport and communications,Roads and bridges,Others means of transport and communications,"Science, technology and environment",General economic services,Secretariat services,Tourism,Civil supplies,Others general economic services,Non developmental expenditure,Organs of state,Fiscal services,Collection of taxes and duties,Other fiscal services,Interest payments and services of debt,Appropriation for reduction or avoidance of debt,Interest payments,Interest on loans from the centre,Interest on internal debt,Interest on market loans,Interest on National Food Security Food ( NSSF ),"Interest on small savings, provident funds, etc",Other interests on internal debt,Administrative services,Secretariat services,District administration,Police,Public works,Other administrative services,Pensions,Miscellaneous general services,Payment on account of state lotteries,Grants-in-aid and contributions,Compensation and assignments to local bodies and Panchayati Raj Institutions,"Transfers to road fund, education cess fund, etc",Reserve with finance department,YearCode,Year
UTTAR PRADESH,2019-20,Accounts,29883304.4,16665818.6,10384876.2,5441333.2,1120750,636487.4,73487.6,68179.2,898837.9,530122.5,106060.6,1315207.7,0,131679,62731.2,6280942.4,858206.8,450678.8,50211.2,149523.5,10627.7,12092.3,66530.1,469.4,29096.8,26495.9,0,60272,2209.2,1944983,7032.1,873818.7,492906.4,344566.7,25929.2,1760168.5,1729012.6,268319.1,68094.8,143020.5,57203.8,523711.6,498622.8,25088.7,5524.7,39178,11425.9,5606.3,4407.8,17738,11767485.7,341000,448589.5,445880.7,2708.9,3481301.8,0,3481301.8,66553.8,2995872.2,1956089.1,534446.5,0,0,2543198,59367.1,92712.1,1932861.7,96366.3,361890.8,4960345.5,6949.1,0,1450000.2,1450000.2,0,0,2019,"Financial Year (Apr - Mar), 2019"
WEST BENGAL,2019-20,Accounts,16257511.7,10019408.2,7308934.6,3187881,922142.8,95987.5,106546.9,13405,548481.5,177015.9,19739.9,1853234.3,160088.7,168256.3,56154.8,2710473.6,458570.9,234539.3,20270.7,48784.8,9696,16752.9,51118.3,0,20079.6,15800.3,0,28111,13417.9,1673948.2,121930.7,114266.8,27603.8,43935.3,42724.8,103651.6,101880,26368.1,34710.5,8342.4,0,176006.6,91916.5,84090.1,4710.5,31020.3,11500.4,7835.7,6702,4982.1,6193130.6,108145.4,121624.3,120936.9,687.4,3166772,0,3166772,52377.7,2803454.3,2091567.8,669444.6,0,171507.6,944565.5,28393.8,23633.9,722748.6,60145.4,109643.9,1746246.7,105776.7,97991.1,44972.9,44972.9,0,0,2019,"Financial Year (Apr - Mar), 2019"
MANIPUR,2019-20,Revised Estimates,1361153,819465.29,424165.47,204601.58,71902.2,3238.07,8001.57,1073.6,28317.6,37303.42,5726.37,37609.18,14223.32,10911.99,1256.57,395299.82,87511.68,27186.5,15841.45,15356.62,370.61,3473.79,14382.22,7.2,7495.54,458.09,0,2932.46,7.2,200516.54,9348.08,9258.69,4270.02,1169.17,1525.6,42622.1,41929.1,19803.43,19175.53,467.9,160,10875.7,10875.7,0,5671.1,9692.5,4833.44,2298.3,0,2560.76,484554.36,23926.32,10144.5,10086.57,57.93,61126.57,7268.01,53858.56,2258.47,41170.69,29200,6740.68,10419.44,9.96,217250.95,6515.13,7201.02,187877.3,3449.74,12207.76,172076.39,29.63,0,57133.35,57133.35,0,0,2019,"Financial Year (Apr - Mar), 2019"
TAMIL NADU,2019-20,Revised Estimates,21693251,11947763.59,7601883.46,3678531.39,917034,278663.85,102699.46,421970.16,155634.65,475660.96,79419.47,916276.9,419168.22,116038.83,40785.57,4345880.13,1464685.15,907219.66,17968.03,112930.87,6180.2,48996.31,42292.04,0,5161.88,112023.66,0,180678.04,31234.46,402354.91,552.47,136143.55,124073.21,11972.83,97.43,878571.64,872843.85,411718.46,136519.01,275199.44,0.01,145177.76,114768.29,30409.47,1930.94,904745.25,9943.87,3580.21,850988.08,40233.09,7918196.03,232106.83,140541.04,139436.22,1104.82,3217800.85,49800,3168000.85,57204.55,2584396.04,2319362.1,187925.7,502266.01,24134.25,1167944.9,33543.75,157478.65,769128.53,48347.59,159446.38,3100782.96,59019.45,0,1827291.38,1827291.38,0,0,2019,"Financial Year (Apr - Mar), 2019"
TAMIL NADU,2019-20,Budget Estimates,21203593.33,11256802.29,7196999.95,3511144.74,881489.59,251741.02,86036.68,390854.58,210397.21,465755.85,78030.24,895407.71,386930.45,1001.37,38210.51,4059802.34,1359779.24,870022.05,9632.81,90549.31,5844.98,51558.85,32439.69,0,10000.01,91134.31,0,168592.94,30004.29,443949.02,444.93,128163.26,116884,11181.91,97.01,920716.97,919644.9,404747.42,129783.13,274964.29,0,138171.93,109650.07,28521.86,1374.29,662455.28,9226.22,2623.65,614677.7,35927.71,8092690.45,209951.26,128157.49,127049.92,1107.57,3328398.87,82300,3246098.87,54271.56,2668329.51,2404491.03,187925.77,506472.48,17025.32,1085224.89,27834.38,132617.77,731803.7,44658.72,148310.32,3239530.3,101427.64,0,1854100.59,1854100.59,0,0,2019,"Financial Year (Apr - Mar), 2019"
TAMIL NADU,2019-20,Accounts,21043472.3,11660906.6,7399931.3,3823899.6,887749.5,263408.9,64641.8,316147.9,164713.3,438956.6,73535.5,829865.2,410916.9,85930.8,40165.3,4260975.3,1401459.6,883919.5,10003.1,105445.7,5034.5,41844.7,40993.7,0,5451.9,111803,0,167325.2,29638.4,350353.4,500,185324.1,158545.5,10967.3,15811.4,873345.7,872843.8,406106.4,127870.1,278236.3,0,140703.5,112727.5,27976,1955,901227.8,9356.3,3288.1,851654.6,36928.8,7813738,216605.7,144217.6,143197,1020.6,3249006.5,50987.8,3198018.7,57938.8,2611047.3,2332294.7,187925.7,0,23626.5,1129098.3,29115.2,152120.8,752621.2,41996.2,153244.9,3020176.9,54633.1,0,1568827.6,1568827.6,0,0,2019,"Financial Year (Apr - Mar), 2019"
MEGHALAYA,2019-20,Budget Estimates,1369947.63,947573.43,514383.89,281780.68,99924.43,8716.4,27076.26,4356.53,11417.14,8305,13677.52,34776.8,17187.93,3307.46,3857.74,433189.54,111506.06,22209.22,27366.28,14407.47,3588.51,6128.41,24059.39,0,0,2055.4,0,2796.96,8894.42,174101.5,7562.83,6903.74,50,6743.71,110.03,21286.07,18440.07,21625.42,12914.43,8710.99,0,20606.35,20606.35,0,88.65,69508.92,51343.65,9719.18,5421.55,3024.54,422374.2,30409.94,14472.43,14408.5,63.93,79679.74,5063.28,74616.46,1640.42,60106.54,49746.65,6280.04,12864,5.5,165785.04,12474.17,5435.38,93028.54,27656.2,27190.75,85469,46558.05,147.05,0,0,0,0,2019,"Financial Year (Apr - Mar), 2019"
MEGHALAYA,2019-20,Revised Estimates,1369947.63,947573.43,514383.89,281780.68,99924.43,8716.4,27076.26,4356.53,11417.14,8305,13677.52,34776.8,17187.93,3307.46,3857.74,433189.54,111506.06,22209.22,27366.28,14407.47,3588.51,6128.41,24059.39,0,0,2055.4,0,2796.96,8894.42,174101.5,7562.83,6903.74,50,6743.71,110.03,21286.07,18440.07,21625.42,12914.43,8710.99,0,20606.35,20606.35,0,88.65,69508.92,51343.65,9719.18,5421.55,3024.54,422374.2,30409.94,14472.43,14408.5,63.93,79679.74,5063.28,74616.46,1640.42,60106.54,49746.65,6280.04,12864,5.5,165785.04,12474.17,5435.38,93028.54,27656.2,27190.75,85469,46558.05,147.05,0,0,0,0,2019,"Financial Year (Apr - Mar), 2019"
MEGHALAYA,2019-20,Accounts,956512.2,589742.6,372426.1,202032.2,75595.8,6047.4,28729.4,3754.2,3968,10011.3,3694.2,17520.2,14270.9,4470.8,2331.7,217316.5,52117.3,11669.4,7360.2,10194.6,1088.3,4657.5,10674.3,0,0,1661.1,0,2340.1,2471.8,85212,3021.8,4267.8,0,4242.6,25.3,1992.4,1992.4,14470,7580.6,6889.3,0,25787.2,25787.2,0,57.5,30390.6,24835.1,1622,1539.6,2393.9,366769.6,18209.1,9801.8,9749.3,52.5,81098.2,5247.1,75851.2,1422.9,59844.8,50026.1,6076.8,0,0,144100.6,9530.1,5083.2,86354.4,21727.2,21405.6,113155.7,404.2,119.1,0,0,0,0,2019,"Financial Year (Apr - Mar), 2019"
PUNJAB,2019-20,Budget Estimates,9019695.66,4421021.89,2280579.42,1242344.67,355855.47,23773.7,54964.05,57678.6,4596.8,116495.39,41802.16,286706.84,25493.86,59135.16,11732.72,2140442.47,1447575.79,1290284.6,12392.9,52357.34,3603.48,2075.9,19806.79,0,12000,39949.93,0,15104.85,0,91270.67,0,131560.76,104265.7,14536.66,12758.4,206722,206582,172824.66,12988.92,159835.74,0,54411.34,19800,34611.34,1831.37,34245.88,5652.58,771.38,24471.9,3350.02,4075348.76,120425.77,53148.71,51102.04,2046.67,1766925.49,0,1766925.49,19719.22,1505390.62,943565.8,179420,182240.74,59574.91,854964.89,44222.34,39378.59,629185.58,43312.65,98865.73,1087500,192383.9,70280.37,523325.01,523325.01,0,0,2019,"Financial Year (Apr - Mar), 2019"
KARNATAKA,2019-20,Revised Estimates,17697038.25,11929959.9,6829641.72,2695433.34,741254.95,83846.19,204983.2,347203,205371.68,740030.44,61539.83,1043723.91,215042,452560,38653.18,5100318.18,2150181.62,589931.77,25992.79,113744.8,136228.2,24341.02,151924.21,0,392919.89,67408.91,0,647690.03,0,783470.36,25537.5,229021.54,188145.43,30049.9,590,1226983.31,1226419.14,129717.69,86669.38,43048.31,0,342157.65,231399.91,110757.74,7510.35,205738.16,28250.44,10005.94,2646.24,164835.54,5093726.35,189078.5,164595.71,163394.11,1201.6,1899105.38,35000,1864105.38,76604,1499527.55,1303940,163527,287656,317.83,871925.76,24328.68,46362.91,596712.68,86591.1,117930.39,1955507,13514,0,673352,673352,0,0,2019,"Financial Year (Apr - Mar), 2019"
KARNATAKA,2019-20,Budget Estimates,18160499.77,12425722.4,7135041.49,2652229.62,780212.24,82724.41,238868.93,252853,235268.43,823779.44,65581.46,1693886.76,215042,55637,38958.2,5290680.91,2160894.03,510654.78,26584,104811.53,146801,23470.14,139630.63,0,395034.01,66908.91,0,746999.03,0,777621.34,30373,256057.18,208348,32255.38,60,1226959.67,1226410.67,149301.1,101253.56,48047.54,0,377351.41,265829.41,111522,7505.35,304617.83,35426.36,11770,2602,254819.47,5049161.37,182556.93,164554.81,163365.81,1189,1941031,35000,1906031,76710,1541652,1343614,163527,287656,13,823920.63,24365,45815.74,539608.09,95190.8,118941,1923584,13514,0,685616,685616,0,0,2019,"Financial Year (Apr - Mar), 2019"
PUNJAB,2019-20,Revised Estimates,8660208.64,4063313.44,2187819.19,1140525.23,330932.71,22679.1,51397.05,55563.9,4623.38,109316.98,29883.05,320937.94,20604.79,90618.44,10736.62,1875494.25,1177742.29,1027082.4,11352.64,48090.26,1623.83,2240.89,39953.52,0,0,38122.62,0,9276.13,0,56920.84,0,122354.08,99547.72,11752.24,11054.12,236987.7,236947.7,212933.62,11074.32,201859.3,0,40285.93,8630,31655.93,1020.69,27249.1,4285.77,529.18,19117.52,3316.63,3944900.23,108838.25,49391.82,47358.94,2032.88,1786809.28,24300,1762509.28,21741.28,1508011.96,951300,179153,173345.55,59410.49,812959.16,32928.46,40064.52,600712.71,41880.21,97373.26,1021300,165601.72,7034.88,651994.97,651994.97,0,0,2019,"Financial Year (Apr - Mar), 2019"
KARNATAKA,2019-20,Accounts,17425740.3,11900885,6637281.4,2651781,752217.6,81635.6,173633.3,322301.3,217356.5,716724.9,52501.5,995134.4,189020.7,448594.8,36379.8,5263603.6,2166855.7,597289.3,25376.4,114941.7,126949.4,25628.9,166288.2,0,386458.8,77556.4,0,646366.8,0,727663.5,22641.7,210315.3,174634.7,26332.7,489,1226440.2,1226000.7,147334.8,106708.2,40626.7,0,356677,246446,110231,6554.3,399121,25076.8,9759.5,2317.1,361967.6,4882383.7,184366.3,157237.6,156042.7,1194.9,1886941.5,35000,1851941.5,68447.1,1508454.7,1303935.3,163527,0,313.2,801128.7,23917.7,41273.4,552677.2,79701,103559.5,1840402.7,12307,0,642471.6,642471.6,0,0,2019,"Financial Year (Apr - Mar), 2019"
MAHARASHTRA,2020-21,Budget Estimates,35696757.7,22144801.1,15323709.6,7290111.1,1439849.3,134956.4,629697.7,555113.3,1677051.2,1853469.9,170164.5,548848.1,321545.3,644838.4,58064.5,6821091.5,2386211,751081,54659.1,149293.1,49207.5,25658.7,301571.9,0,65615.6,146773.9,0,142211.4,700138.8,1556152.1,129.8,248959.9,178005.6,66431.6,2195.6,964127.1,866360.6,389080.5,74848.3,314232.2,0,747864.6,634730.2,113134.4,69023.9,459542.7,213672.3,140571.7,8,105290.7,11184397.9,412468.7,410332.6,410332.6,0,3953063.7,400000,3553063.7,44187.8,2881603.9,2237110,527730.4,0,36195.3,3451895.2,115753.9,864242.2,1964757.2,188280.2,318861.7,2922313.9,34323.9,8939.3,2367558.7,2367558.7,0,0,2020,"Financial Year (Apr - Mar), 2020"
MAHARASHTRA,2020-21,Revised Estimates,33567537,20701914.9,14240760.4,6552454.9,1680976.4,128695.8,549690.2,536042.7,1079678.4,1436527.9,145243.5,746015.3,520853.4,833382.8,31199.1,6461154.5,2534746.3,706253.4,44687.4,136188.5,70771.5,29191.1,267105.8,0,304940.1,121887.8,0,86130.3,767590.4,1565354.2,103.3,187125.3,121601.9,61848.7,1823,997441.7,963671.6,285314.2,46941.3,238372.9,0,498670.9,402242.3,96428.6,60799.8,331598.9,188029.2,127894.8,1.8,15673.1,10697257.8,385865.4,459640.3,459640.3,0,3770148,50000,3720148,44187.8,3071571.7,2437110,502730,0,36306.3,2868984.7,77657.1,826854.9,1699689.7,111020.5,153762.5,3183285.1,29334.5,4523.6,2168364.2,2168364.2,0,0,2020,"Financial Year (Apr - Mar), 2020"
ODISHA,2020-21,Budget Estimates,11479086,7832282,4734824.1,1971339,635733.9,47455.6,394311.7,31406.4,261641.1,301819.3,20431.1,568042.8,131444.3,331898,39301,3097457.9,1155404.4,694007.1,23462.8,63049.8,5677.7,26554.2,105008.5,0,119827.7,32014,0,84889.5,913,1132158.2,2000,292938.9,74395.9,168839.9,18017.2,14443.7,887.1,135757.9,41409.1,39903.9,54445,229039.4,226988.3,2051.1,12719.5,122996,99482.6,9384.5,4158.1,9970.8,3504326,93849.5,123867.8,123173.1,694.6,716000,0,716000,27478.6,478781.3,277869.6,80000,0,40,917076.7,284042,25407,394139.7,108463.5,105024.5,1590000,63532,0,142478,142478,0,0,2020,"Financial Year (Apr - Mar), 2020"
ODISHA,2020-21,Revised Estimates,10486390.7,7238427,4211348.4,1772112.7,735558.4,47468.9,317485.2,31619.7,190146.2,230543.8,20929.7,471983.8,78399.3,271349,43751.9,3027078.6,1044336.3,528253.5,20462.8,61214.9,5677.7,26449.3,90720.5,0,226644,32014,0,51986.7,913,1325356.6,2000,182657.1,74395.9,86196.5,18017.2,14443.7,887.1,90245.4,32505.1,27740.3,30000,229381.8,227238.3,2143.5,11595.7,127062,99494.9,12423.6,5169.1,9974.4,3104985.8,96303.7,121398,120702.9,695.1,716000.1,0,716000.1,27478.7,478781.4,272016.3,80000,0,40,700408.2,86825.7,25420.5,373510.6,108528.1,106123.4,1395244.7,75631.1,0,142978,142978,0,0,2020,"Financial Year (Apr - Mar), 2020"
PUDUCHERRY,2020-21,Revised Estimates,777295.3,522935.3,273454.6,93019.2,69009.7,1532.6,9807.7,7591,12514.8,15661.2,4427.6,53216.2,4387.8,1325.4,961.5,249480.7,48618.2,9066.2,223.2,4135.9,501.5,5944.6,774.4,0,24100,2167.4,0,1129.6,575.4,5583.2,1200,2342.9,0,2273,69.9,174048.5,174006.4,6108.1,2036.2,4072,0,6284.1,3373,2911.2,360.8,4935,1210.2,1625,1069.8,1030,254360,6630.4,6175.3,6175.3,0,77524,1,77523,9890,49444,49444,0,0,8020,48867.6,3416.4,649.2,23544.6,11518,9739.4,114990.4,172.3,0,0,0,0,0,2020,"Financial Year (Apr - Mar), 2020"
MANIPUR,2020-21,Budget Estimates,1609108,992916.3,486044.9,233355.1,79890.8,3208.1,9503.5,1064.2,31652.2,36748.9,8116.9,68485.2,7623.9,5062.9,1333.2,506871.4,111266.5,32064.4,25559.4,17935.2,412.2,3991.7,19350.8,7.2,7973,577.6,0,3387.9,7.2,290727.5,7770.7,10921.5,5201.6,1472.5,1957.9,35757.2,35064.2,21730.9,20966.5,764.4,0,12177.8,12177.8,0,5818.7,10700.6,5108.3,2327.8,0,3264.5,556757.5,24716.4,11003.9,10942.4,61.5,65254.4,7607,57647.4,2145.6,43660.8,32120,6740.7,0,10,266399.6,7991,8708.5,231411.5,3936.1,14352.6,189319.5,63.6,48.5,59434.3,59434.3,0,0,2020,"Financial Year (Apr - Mar), 2020"
TELANGANA,2020-21,Revised Estimates,13398431.3,10020514.7,5621575.1,1187413.6,393472.7,168261.5,106687.1,589035.6,305252.6,1069574,18934.1,1369389.8,318879.2,50130.8,44544,4398939.6,2514823.5,1722010.7,3821.4,46539.2,0,3473.7,65619.9,0,341,39938.9,0,9806.6,623272.2,507604.6,0,62147.1,57941.8,1898.3,0,1011139,1010164.6,170440.4,117664.1,51861.9,914.4,75497.1,12606.1,62890.9,1462.6,55825.4,16697.1,25746.2,5694.2,7687.9,3376906.6,102491.3,80052.8,80052.8,0,1462536.3,1000,1461536.3,18805.7,1389817.2,1207485.8,74650,0,0,725160.5,19564.8,113713.3,509824,20925.6,61132.8,1006561.8,103.9,0,1010,1010,0,0,2020,"Financial Year (Apr - Mar), 2020"
TELANGANA,2020-21,Budget Estimates,13866981.6,10489465.1,6090575.6,1186318.8,393573.7,168261.5,106687.1,1059035.6,305252.6,1069574,18934.1,1369389.7,318879.2,50130.8,44538.4,4398889.4,2514823.5,1722010.7,3821.4,46539.2,0,3473.7,65619.9,0,341,39938.9,0,9806.6,623272.2,507604.6,0,62147.1,57941.8,1898.3,0,1011139,1010164.6,170440.4,117664.1,51861.9,914.4,75497.1,12606.1,62890.9,1462.6,55775.3,16697.1,25696.1,5694.2,7687.9,3376506.6,102491.3,79652.8,79652.8,0,1462536.3,1000,1461536.3,18805.7,1389817.2,1207485.8,74650,0,0,725160.5,19564.8,113713.3,509824,20925.6,61132.8,1006561.8,103.9,0,1010,1010,0,0,2020,"Financial Year (Apr - Mar), 2020"
UTTARAKHAND,2020-21,Budget Estimates,4238967.1,2325473.2,1661033,895745.5,231989.2,15417.7,40269.4,920,127495.9,46479,25483.2,211874.1,0,55195.6,10163.5,664440.3,325170.2,124795.1,0,30890.7,7411.1,2536.6,104997.6,0,20576.4,26230.1,0,7732.7,0,179219.1,0,55926,41442,13684.1,800,1436.2,29,26716.5,25399.1,1317.5,0,50750.4,36370,14380.4,6484.5,18737.3,1290.9,10991.1,850.9,5604.5,1683115.8,45665.2,46593.9,45915.3,678.6,604224,15000,589224,6100,474576.2,330774.2,100000,0,40057.8,356145.6,24909.4,18742.1,205823.4,60495.6,46174.9,630487.2,0,0,230378.1,230378.1,0,0,2020,"Financial Year (Apr - Mar), 2020"
UTTARAKHAND,2020-21,Revised Estimates,4009117.6,2173351.5,1580991.3,868424.2,202414.7,15318.6,42952.3,739.3,90453.4,34928.6,23006,194935.3,0,97319.9,10499,592360.2,277752,111166.5,0,25536.5,3632.9,2781.6,92863.2,0,10437.5,22850,0,8483.9,0,173859.1,0,46488.3,34123.3,11815,550,1257.8,10.4,21093.8,18391.4,2702.4,0,56015.7,36983.7,19032.1,1830.9,14062.7,1125.1,9277,645.3,3015.3,1605448,42110.4,43089,42524.1,564.9,562524,15000,547524,6100,441876.2,320774.2,90000,0,31057.8,328064.1,22998.7,18485.8,192811.9,53120.1,40647.6,629660.6,0,0,230318.1,230318.1,0,0,2020,"Financial Year (Apr - Mar), 2020"
ARUNACHAL PRADESH,2020-21,Revised Estimates,1440283.5,986704.3,464651.8,166616.7,98020.8,1483.2,83136.4,6884.6,40260.3,0,2882.3,22150.6,4399.8,31644.2,7173,522052.5,131645.3,29984.1,9273.6,14828.9,297.2,2918.3,68112.2,0,1625.4,2729,0,1658.7,217.9,114746.9,1657.7,37248,0,34248,3000,108580,105969,10049.2,7739.1,2310.1,0,94715,79566.3,15148.8,4384.4,19026.1,6013.5,2072,7097.1,3843.5,453579.2,24176.1,9509.9,9334.4,175.6,102725.3,24050,78675.3,1008,47382,35882,11500,0,6727.3,186181.9,16051.8,32840.8,95798.8,29647.2,11843.3,130834.4,151.6,0,0,0,0,0,2020,"Financial Year (Apr - Mar), 2020"
PUDUCHERRY,2020-21,Budget Estimates,771500,516993.8,272084.8,93149.8,66718.3,1874.1,10458.2,6291.9,11258.9,15297.5,4960.7,54299.2,5294.6,1443.9,1037.9,244909,48861.4,9211.3,262.8,4301.5,553.7,5820,828.7,0,24100,2171,0,1119.1,493.4,6221.3,1200,2822.3,0,2690.8,131.5,169419.5,169335.5,5389.4,2281.4,3107.9,0,5491.9,3147.8,2344.1,380.6,5122.7,1211.1,1994.5,1031.4,885.7,254506.2,6492.2,6449.8,6449.8,0,73690.4,1,73689.4,10632.4,48773,48773,0,0,8784,50062.7,3496.1,711.8,23167,12519.2,10168.6,117640.1,171,0,0,0,0,0,2020,"Financial Year (Apr - Mar), 2020"
ANDHRA PRADESH,2020-21,Revised Estimates,15298988.7,10444954,6770732.7,2067826.3,556269.6,341793.9,65113.4,202952.5,434913.7,2325317.1,24416.6,352939.8,149620.4,215665.4,33904.2,3674221.3,1035750.4,298119.1,3735.5,69930.1,0,8321,33651.4,0,2945.3,164680.2,0,15210.6,439157.2,1253797.9,0,65703.8,56493.7,8735.9,18.7,600870.2,600870.2,132101.7,94559.3,23585,13957.4,436496.2,134040.8,302455.4,1029.6,148471.4,128955.6,123.6,8556.1,11083.2,4852061.2,100944.3,102049.4,102049.4,0,2252630,50000,2202630,64152.7,1999247.3,1764441.9,109570.7,0,0,945685.6,137639.9,115198.9,584061.1,25165.7,83620,1450689.1,62.9,0,1973.6,1973.6,0,0,2020,"Financial Year (Apr - Mar), 2020"
MANIPUR,2020-21,Revised Estimates,1670704.2,1073395.1,507469.5,240611.4,89571.5,3753.4,12499.9,880.9,41442,38408.8,7460.3,43609.2,17486,10260.5,1485.6,565925.6,110239.7,34115.2,16089.5,21478.5,319.7,5491,21252.4,7.2,7495.9,508.9,0,3478.7,2.9,353468.2,6342.1,8055.8,4450.2,1279.4,1625.8,45695.6,44697.3,13140.8,12729.5,411.3,0,8534.6,8534.6,0,10590,9858.9,5660.9,883.6,0,3314.4,528533,31822.2,11628.2,11568.1,60.1,62282.3,2,62280.3,2034.4,48645.3,28943.7,6740.7,0,8.3,246171.8,8968,7780.7,209441.3,3292.9,16688.9,176617,11.6,5.5,68776.2,68776.2,0,0,2020,"Financial Year (Apr - Mar), 2020"
RAJASTHAN,2020-21,Budget Estimates,18575002.8,12372809.7,7642271.9,3860491.1,1056184.6,273846.4,389112.3,7455.4,613833.9,166694.8,136366.9,770967,213132.3,135096.7,19090.6,4730537.8,1118211.8,331808.7,6396,158237.1,20029.6,1683.8,75198.2,0,0,32239.6,0,483424.5,9194.3,1286446.9,301,216374.4,193895.1,20263.6,0,1596341.3,1595845.7,41444.5,7037,34407.5,0,313958.1,261114.7,52843.4,2000.2,155459.6,4484.9,6202.4,65197.8,79574.5,6202178,151796.3,234629.1,234183.5,445.6,2549419.9,0,2549419.9,45368.1,2013860.5,1403480.8,134693.9,0,30345.3,870349.9,26054.4,56189.8,679159.5,11691.3,97254.8,2340370.1,55612.8,0,15.1,15.1,0,0,2020,"Financial Year (Apr - Mar), 2020"
GOA,2020-21,Budget Estimates,1465889.4,1003028.9,577529.1,248760,117866,1999.4,49928.7,2240.1,26201.7,14892.7,12593.5,92455.6,2793,2972.4,4826,425499.9,56856.4,18264.6,484.9,7454.7,9038.6,5916.2,9233.5,0,3438.4,389.7,0,2499,136.9,29747.9,1350.7,19387.3,7725,7433.6,2450,226436.4,217759.7,28213.6,8841.4,17872.2,1500,41752.5,14112.8,27639.7,6807.5,14947.5,2855.6,8322.3,1484.4,2285.2,462860.5,18520.2,12186.4,12178.9,7.5,178619.5,3000,175619.5,3533.5,142254.1,106990.2,29000,0,9298,106153.8,6939.5,6683.3,60323.9,14517.6,17689.4,142820,4560.7,227.5,0,0,0,0,2020,"Financial Year (Apr - Mar), 2020"
HIMACHAL PRADESH,2020-21,Budget Estimates,3912284.9,2358429.5,1522020.9,796337,213188.8,61419.8,126600.3,10556.7,70040.6,8956.5,30591.7,142566.2,7915,45400,8448.3,836408.5,268342.1,80096.3,8853.7,43690,2465.5,3143.5,73354.1,182.2,30507.7,21130,0,3919.2,1000,173186.7,0,54319.9,2794.3,50901.9,623.7,50020,49384.7,25111,21716.8,3394.2,0,248281.5,207353.9,40927.6,1833.1,15314.3,6050.6,5694,1608,1961.7,1552792.1,35311,33978.8,33793.5,185.3,493194.5,2,493192.5,7800.6,335391.9,240536.1,52695.3,0,0,261051.8,11753.9,26561.4,146856.6,44855.2,31024.8,726600,2656.1,0,1063.3,1063.3,0,0,2020,"Financial Year (Apr - Mar), 2020"
GOA,2020-21,Revised Estimates,1443613.9,980753.4,568914.2,240145.2,117866,1999.4,49928.7,2240.1,26201.7,14892.7,12593.5,92455.6,2793,2972.4,4826,411839.2,56856.4,18264.6,484.9,7454.7,9038.6,5916.2,9233.5,0,3438.4,389.7,0,2499,136.9,29747.9,1350.7,19387.3,7725,7433.6,2450,216436.4,207759.7,24553,8841.4,14211.6,1500,41752.5,14112.8,27639.7,6807.5,14947.5,2855.6,8322.3,1484.4,2285.2,462860.5,18520.2,12186.4,12178.9,7.5,178619.5,3000,175619.5,3533.5,142254.1,106990.2,29000,0,9298,106153.8,6939.5,6683.3,60323.9,14517.6,17689.4,142820,4560.7,227.5,0,0,0,0,2020,"Financial Year (Apr - Mar), 2020"
PUNJAB,2020-21,Budget Estimates,9571604.3,4429573.5,2399330.7,1262421.8,376314.9,23886.4,75508.1,46020.1,5084,82115.7,48690,357508.4,21900.1,85310.2,14571.1,2030242.8,1319323.1,1122803.8,20693.6,52338.8,1870.8,4428.1,59187.2,0,0,42278.7,0,15722.2,0,78344.5,0,119733.7,96461.3,12118.7,11153.7,175879.4,175508,246211.4,11015.4,235196,0,54481.1,17700,36781.1,2209.4,34060.2,5177.2,814.8,24805.5,3262.9,4708329.8,102172.3,62228.9,60172.8,2056.2,1931809,24300,1907509,19729,1638658.8,1108800,161259,0,58645.8,1275036,38487.4,43019,646729.9,46125.5,500674.3,1226700,110383.6,6632.8,433701,433701,0,0,2020,"Financial Year (Apr - Mar), 2020"
PUNJAB,2020-21,Revised Estimates,9277229.6,4251499.7,2498203.4,1250235.4,368628.8,21938.7,69572.1,59984.3,4045.6,116388.6,31247.5,348777.9,20687.4,192095.1,14602.1,1753296.3,987919.5,813848.9,16482.6,48381.5,1611,2917.5,54231.6,0,0,39875.9,0,10570.6,0,82660.7,0,106333.4,86045.9,10566.8,9720.7,220559.1,220294,213274.2,10818.2,202456,0,106841.2,48532,58309.2,1380.4,34327.9,3397.1,522.7,27566.2,2841.9,4354025,97784.7,53030.6,50997.8,2032.7,1951381.3,92500,1858881.3,17530.8,1635112,1108800,161259,0,58973.6,841169.3,26214.2,40142.9,620801.5,58649.5,95361.3,1300000,110659.1,7160.7,671705,671705,0,0,2020,"Financial Year (Apr - Mar), 2020"
